"ID_HOTEL","NAME","STREET","NUMBER","CITY","COUNTRY","HOTEL_RATING","PHONE","EMAIL","TOTAL_SUITE","TOTAL_COMMON","PRICE_SUITE","PRICE_COMMON"
"HT1001","HOTEL GRAN NACIONAL     ","Apdo.:636-9359 Risus. Av.                  ",120,"MADRID              ","SPAIN           ","5 STARS",936506303,"nunc.ullamcorper@lorem.ca                    ",10,300,400.00,75.00
"HT1002","HOTEL PLAYA             ","275 Nam C.                                 ",109,"MALAGA              ","SPAIN           ","5 STARS",858034461,"fermentum@consequatdolor.org                 ",10,300,400.00,75.00
"HT1003","HOTEL CENTRAL           ","Apartado núm.: 765, 5485 Mi Ctra.          ",154,"MALAGA              ","SPAIN           ","4 STARS",248523923,"Aenean@egestas.ca                            ",8 ,180,250.00,65.50
"HT1004","HOTEL INTERNACIONAL     ","Apartado núm.: 719, 9973 Fusce Avenida     ",41 ,"MALAGA              ","SPAIN           ","5 STARS",911022475,"penatibus.et@netus.org                       ",10,300,400.00,75.00
"HT1005","HOTEL PLATJA            ","Apartado núm.: 685, 4778 Nunc Ctra.        ",133,"VALENCIA            ","SPAIN           ","4 STARS",936176393,"lectus.Nullam.suscipit@Proinvel.com          ",8 ,180,250.00,65.50
"HT1006","HOTEL INTERCONTINENTAL  ","864-8941 Mi Carretera                      ",57 ,"BARCELONA           ","SPAIN           ","5 STARS",411441509,"ullamcorper.magna.Sed@sitametconsectetuer.edu",10,300,400.00,75.00
"HT1007","HOTEL URBAN             ","427-9507 At Avda.                          ",64 ,"BARCELONA           ","SPAIN           ","5 STARS",389095663,"scelerisque@laoreetposuere.ca                ",10,300,400.00,75.00
"HT1008","HOTEL EL RESPLANDOR     ","Apartado núm.: 843, 9438 Lorem, Av.        ",164,"CIUDAD REAL         ","SPAIN           ","5 STARS",625835532,"bibendum.fermentum@anteMaecenas.net          ",10,300,400.00,75.00
"HT1009","HOTEL LOS ALAMOS        ","4109 Eleifend                              ",105,"SEGOVIA             ","SPAIN           ","5 STARS",149802677,"Phasellus@Proinnislsem.org                   ",10,300,400.00,75.00
"HT1010","HOTEL IBERIA            ","Apartado núm.: 427, 6005 Mi, C/            ",108,"MADRID              ","SPAIN           ","3 STARS",902493515,"Nullam.ut@acmattis.co.uk                     ",0 ,250,0     ,35.50
