"ID_PORT_CRUISE", "PORT_CALL", "DATE_PORT", "TIME_PORT"
"CR2001","MARSELLA     ",2019-03-04,10:00       
"CR2001","VENECIA      ",2019-03-08,11:00          
"CR2001","ROMA         ",2019-03-12,10:00        
"CR2001","CRETA        ",2019-03-16,12:00         
"CR2001","BARCELONA    ",2019-03-18,13:00
"CR2002","EL CAIRO     ",2019-03-19,18:00      
"CR2002","MYKONOS      ",2019-03-23,10:00          
"CR2002","LA VALETA    ",2019-03-25,09:00        
"CR2002","ROMA         ",2019-03-27,11:00
"CR2003","EL CAIRO     ",2019-03-04,10:30       
"CR2003","SANTORINI    ",2019-03-07,10:00          
"CR2003","LA VALETA    ",2019-03-11,11:00         
"CR2003","ROMA         ",2019-03-13,10:00         
"CR2003","VENECIA      ",2019-03-15,12:00
"CR2004","BARCELONA    ",2019-03-17,13:00       
"CR2004","ROMA         ",2019-03-29,18:00          
"CR2004","EL CAIRO     ",2019-03-21,10:00
"CR2005","EL CAIRO     ",2019-03-14,09:00       
"CR2005","TENERIFE     ",2019-03-16,11:00          
"CR2005","MALAGA       ",2019-03-18,10:30
"CR2006","LAS PALMAS   ",2019-03-04,10:00       
"CR2006","TENERIFE     ",2019-03-06,11:00            
"CR2006","CADIZ        ",2019-03-08,10:00     
"CR2007","ROMA         ",2019-03-22,12:00       
"CR2007","MONACO       ",2019-03-24,13:00          
"CR2007","MARSELLA     ",2019-03-26,18:00        
"CR2007","MALAGA       ",2019-03-28,10:00
"CR2008","COPENHAGUE   ",2019-03-07,09:00                  
"CR2008","OSLO         ",2019-03-12,11:00                      
"CR2008","ST. PETESBURG",2019-03-16,10:30            
"CR2009","NAPOLES      ",2019-03-11,10:00        
"CR2009","EL PIREO     ",2019-03-15,11:00           
"CR2009","MALLORCA     ",2019-03-21,10:00       
"CR2009","VENECIA      ",2019-03-27,12:00  
"CR2010","STOCKHOLM    ",2019-03-09,13:00       
"CR2010","OSLO         ",2019-03-17,18:00          
"CR2010","SOUTHAMPTON  ",2019-03-19,10:00
