ID_AGENT;NAME;STREET;NUMBER;EMAIL;PHONE                                                                                         
12658574;Nulla Cras Eu LLC            ;793-3813 Egestas C.               ;544;Nunc.mauris@utaliquam.com                  ;237672708
12658575;Ultricies Ornare Ltd         ;109-716 Placerat Ctra.            ;750;"et.netus@variuseteuismod.ca               """;121754209
12658576;Magna Industries             ;Apartado nm.: 527-7986 Nec C.    ;133;"venenatis@sodalespurusin.org              """;209888766
12658577;Nulla Limited                ;Apartado nm.: 654                ;388;scelerisque.neque.Nullam@sit.ca            ;343980033
12658578;Proin Vel Nisl Corp.         ;7273 Phasellus Carretera          ;451;Cras.interdum.Nunc@maurisblandit.edu       ;328424707
12658579;Lectus Ante Dictum Corp.     ;Apartado nm.: 479 		;672;magna@eu.com                               ;434370196
12658580;Orci PC                      ;579-7666 Tincidunt C/             ;807;imperdiet@magnaDuis.net                    ;465368427
12658581;Euismod Urna Ltd             ;977-9073 Aliquam Av.              ;509;dui.Fusce.diam@nuncsit.edu                 ;111788912
12658582;Sed Molestie Institute       ;Apartado nm.: 549                ;679;ac.feugiat@velit.net                       """;349891196;
12658583;Vel Corp.                    ;Apdo.:747-7861 Integer Calle      ;258;diam@vehicula.ca                           ;880344611
12658584;Aliquet Odio Etiam Foundation;722-4411 In Carretera             ;272;luctus.felis@turpis.com                    ;574406335
12658585;Dolor Inc.                   ;Apdo.:304-2885 Felis, Calle       ;431;velit@amet.edu                             ;210610702
12658586;Luctus Sit Company           ;Apdo.:852-6226 Porttitor Carretera;948;Mauris.non@lacusvarius.com                 ;509261926
12658587;Mi Enim Condimentum LLP      ;Apartado nm.: 374, 3732 Nulla C/ ;165;volutpat.Nulla@sedorci.org                 ;426865023
12658588;Aenean Corporation           ;3160 Eget Av.                     ;714;egestas.Aliquam.fringilla@temporaugue.co.uk;233105375
12658589;Dui Nec Company              ;Apartado nm.: 736, 6144 Ligula   ;457;orci.Ut@Phasellus.com                      ;487937498
12658590;Etiam Vestibulum Corp.       ;Apdo.:488-9735 Egestas Avda.      ;449;Vestibulum@tempus.com                      ;369233964
1;WEB_SITE;LOCAL;1;LOCAL;000000001
2;OWN_AGENCY;LOCAL;2;LOCAL;000000002
