ID_PRODUCT;ID_FLIGHT;DEP_DATE;DEP_TIME;IATA_DEP;IATA_ARR;ARR_DATE;ARR_TIME;PLANE;TOTAL_SEAT_VIP;TOTAL_SEAT_ECO;PRICE_VIP;PRICE-ECO
100000110;AZ1010;2019-01-11;8:00:00;AGP;BRU;2019-01-11;8:00:00;BOEING 737 ;24;110;12550;6500
100000111;AZ1011;2019-01-12;8:30:00;BRU;OST;2019-01-12;8:30:00;AIRBUR A350;24;130;12550;7500
100000112;AZ1012;2019-01-13;12:00:00;OST;AGP;2019-01-13;12:00:00;AIRBUS A320;24;120;22550;7000
100000113;AZ1013;2019-01-14;15:00:00;TFS;CDG;2019-01-14;15:00:00;BOEING 787 ;24;110;22550;5400
100000114;AZ1014;2019-01-15;16:40:00;ALC;BRU;2019-01-15;16:40:00;BOEING M50 ;12;90;12550;3200
100000115;AZ1015;2019-01-16;17:10:00;BRU;ALC;2019-01-16;17:10:00;BOEING M90 ;12;90;14550;3200
100000116;AZ1016;2019-01-17;20:30:00;AGP;BRU;2019-01-17;20:30:00;BOEING N75 ;12;90;12550;3200
100000117;AZ1017;2019-01-18;22:00:00;BRU;OST;2019-01-18;22:00:00;BOEING A320;24;110;12550;7000
100000118;AZ1018;2019-01-19;8:00:00;OST;AGP;2019-01-19;8:00:00;BOEING 737 ;24;110;12550;5400
100000119;AZ1019;2019-01-20;8:30:00;TFS;CDG;2019-01-20;8:30:00;AIRBUR A350;24;130;12550;8500
100000120;AZ1020;2019-01-21;12:00:00;ALC;BRU;2019-01-21;12:00:00;AIRBUS A320;24;120;12550;7000
100000121;AZ1021;2019-01-22;15:00:00;BRU;ALC;2019-01-22;15:00:00;BOEING 787 ;24;90;15550;8800
100000122;AZ1022;2019-01-23;16:40:00;AGP;BRU;2019-01-23;16:40:00;BOEING M50 ;12;90;12550;7400
100000123;AZ1023;2019-01-24;17:10:00;BRU;OST;2019-01-24;17:10:00;BOEING M90 ;12;90;12550;9400
100000124;AZ1024;2019-01-25;20:30:00;OST;AGP;2019-01-25;20:30:00;BOEING N75 ;12;90;12550;6000
100000125;AZ1025;2019-01-26;22:00:00;TFS;CDG;2019-01-26;22:00:00;BOEING A320;24;120;12550;7000
100000126;AZ1026;2019-01-27;8:00:00;ALC;BRU;2019-01-27;8:00:00;BOEING M91 ;24;90;12550;6500
100000127;YM8506;2019-01-28;8:30:00;CDG;BEL;2019-02-10;8:30:00;BOEING A320 ;24;110;16550;9500
100000128;YM8507;2019-01-29;12:00:00;BEL;LIL;2019-02-10;12:00:00;BOEING A320 ;24;110;16550;9500
100000129;YM8508;2019-01-30;15:00:00;LIL;TFS;2019-01-28;15:00:00;BOEING N76 ;12;90;12550;9400
100000130;YM8509;2019-01-31;16:40:00;CUN;BRU;2019-01-29;16:40:00;BOEING A321;24;90;17550;9400
100000131;YM8510;2019-02-01;17:10:00;BRU;MIA;2019-01-30;17:10:00;BOEING M92 ;12;90;12550;9400
100000132;YM8511;2019-02-02;20:30:00;CUN;MIA;2019-02-01;20:30:00;AIRBUS A380;24;250;32550;7000
100000133;YM8512;2019-02-03;22:00:00;BRU;LAX;2019-02-02;22:00:00;AIRBUR A350;24;130;12550;7500
100000134;YM8513;2019-02-04;8:00:00;CDG;BEL;2019-02-02;8:00:00;AIRBUS A380;48;250;32550;8000
100000135;YM8514;2019-02-05;8:30:00;BEL;LIL;2019-02-04;8:30:00;AIRBUR A350;24;130;10050;8500
100000136;YM8515;2019-02-06;12:00:00;LIL;TFS;2019-02-04;12:00:00;AIRBUS A380;48;250;12550;9000
